"rules","support","confidence","lift","count"
"{Chairs,Labels,Machines} => {Accessories}",0.00107845780533837,0.8,4.38934911242604,4
"{Chairs,Labels,Machines} => {Phones}",0.00107845780533837,0.8,3.91968295904888,4
"{Chairs,Labels,Machines} => {Furnishings}",0.00107845780533837,0.8,3.67682775712516,4
"{Chairs,Labels,Machines} => {Binders}",0.00134807225667296,1,3.16197783461211,5
"{Art,Labels,Machines} => {Storage}",0.00134807225667296,1,5.18016759776536,5
"{Art,Labels,Machines} => {Phones}",0.00107845780533837,0.8,3.91968295904888,4
"{Art,Labels,Machines} => {Furnishings}",0.00134807225667296,1,4.59603469640644,5
"{Art,Labels,Machines} => {Binders}",0.00107845780533837,0.8,2.52958226768968,4
"{Accessories,Labels,Machines} => {Furnishings}",0.00134807225667296,0.833333333333333,3.83002891367204,5
"{Accessories,Labels,Machines} => {Binders}",0.00134807225667296,0.833333333333333,2.63498152884342,5
"{Labels,Machines,Storage} => {Phones}",0.00161768670800755,0.75,3.67470277410832,6
"{Labels,Machines,Storage} => {Furnishings}",0.00188730115934214,0.875,4.02153035935564,7
"{Labels,Machines,Phones} => {Furnishings}",0.00188730115934214,0.777777777777778,3.57469365276057,7
"{Labels,Machines,Paper} => {Phones}",0.00161768670800755,0.75,3.67470277410832,6
"{Labels,Machines,Phones} => {Binders}",0.00188730115934214,0.777777777777778,2.45931609358719,7
"{Binders,Labels,Machines} => {Phones}",0.00188730115934214,0.777777777777778,3.81080287685308,7
"{Furnishings,Labels,Machines} => {Binders}",0.00215691561067673,0.8,2.52958226768968,8
"{Binders,Labels,Machines} => {Furnishings}",0.00215691561067673,0.888888888888889,4.08536417458351,8
"{Appliances,Chairs,Machines} => {Phones}",0.00188730115934214,0.777777777777778,3.81080287685308,7
"{Appliances,Chairs,Machines} => {Furnishings}",0.00188730115934214,0.777777777777778,3.57469365276057,7
"{Appliances,Chairs,Machines} => {Paper}",0.00188730115934214,0.777777777777778,2.68351421188631,7
"{Appliances,Chairs,Machines} => {Binders}",0.00188730115934214,0.777777777777778,2.45931609358719,7
"{Appliances,Art,Machines} => {Binders}",0.00215691561067673,0.8,2.52958226768968,8
"{Accessories,Appliances,Machines} => {Binders}",0.00242653006201132,0.9,2.8457800511509,9
"{Appliances,Machines,Storage} => {Furnishings}",0.00242653006201132,0.9,4.1364312267658,9
"{Appliances,Machines,Storage} => {Binders}",0.00242653006201132,0.9,2.8457800511509,9
"{Appliances,Machines,Phones} => {Furnishings}",0.00242653006201132,0.818181818181818,3.76039202433255,9
"{Appliances,Machines,Phones} => {Binders}",0.00242653006201132,0.818181818181818,2.58707277377354,9
"{Appliances,Furnishings,Machines} => {Binders}",0.0032353734160151,0.923076923076923,2.91874877041117,12
"{Art,Chairs,Machines} => {Phones}",0.00215691561067673,0.8,3.91968295904888,8
"{Art,Chairs,Machines} => {Paper}",0.00215691561067673,0.8,2.76018604651163,8
"{Art,Chairs,Machines} => {Binders}",0.00215691561067673,0.8,2.52958226768968,8
"{Accessories,Chairs,Machines} => {Phones}",0.00242653006201132,0.818181818181818,4.00876666266362,9
"{Accessories,Chairs,Machines} => {Binders}",0.00242653006201132,0.818181818181818,2.58707277377354,9
